"Organismo","Nome","CAE","Descrição","Setor","Distrito","Concelho","Código
 PME Líder"
"IAPMEI","A. Santos - Electricidade, Lda.",,"Instalação eléctrica","Construção e Imobiliário","Leiria                                                      ","Alcobaça","L23-03240CGD"
"IAPMEI","A. Tito - Peças Auto, Unip., Lda.",,"Comércio a retalho de peças e acessórios para veículos automóveis","Comércio","Lisboa                                                      ","Lisboa","L23-07063BCP"
"IAPMEI","A.A.C. - Têxteis, S.A.",,"Confecção de outro vestuário exterior em série","Indústria","Braga                                                       ","Vila Nova de Famalicão","L23-02382CGD"
"IAPMEI","A.C. J. Silva - Equipamentos e Acessórios para a Indústria, Lda.",,"Comércio a retalho de outros produtos novos, em estabelecimentos especializados, n.e.","Comércio","Setúbal                                                     ","Seixal","L23-10304NB "
"IAPMEI","A.C.O. - Materiais de Construção e Terraplanagens, Unip., Lda.",,"Preparação dos locais de construção","Construção e Imobiliário","Porto                                                       ","Póvoa de Varzim","L23-10886CGD"
"IAPMEI","A.F. Mendes, Unip., Lda.",,"Fabricação de passamanarias e sirgarias","Indústria","Braga                                                       ","Vizela","L23-07605NB "
"IAPMEI","A.F. Vilas Boas - Malhas e Bordados, Lda.",,"Fabricação de bordados ","Indústria","Braga                                                       ","Barcelos","L23-04501BCP"
"IAPMEI","A.F.F. - Serralharia Civil, Lda.",,"Fabricação de portas, janelas e elementos similares em metal","Indústria","Aveiro                                                      ","Sever do Vouga","L23-08446BCP"
"IAPMEI","A.G. Monteiro, Lda.",,"Fabricação de  outras torneiras e válvulas","Indústria","Braga                                                       ","Braga","L23-10250CGD"
"TP","A.G.T.  Sociedade de Gestão e Turismo, S.A.",,"Hotéis com restaurante","Turismo","Faro                                                        ","Albufeira","L23-05649NB "
"IAPMEI","A.J. Antunes, Lda.",,"Outras indústrias transformadoras diversas, n.e.","Indústria","Aveiro                                                      ","Oliveira de Azeméis","L23-04379BCP"
"TP","A.J. Cabrita- Hotelaria, Lda.",,"Apartamentos turísticos com restaurante","Turismo","Faro                                                        ","Albufeira","L23-05651BCP"
"TP","A.J. G. Sousa, Unip., Lda. ",,"Parques de campismo e de caravanismo","Turismo","Beja                                                        ","Odemira","L23-06999CAM"
"IAPMEI","A.J. Martins Seco - Construções, Unip., Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Setúbal                                                     ","Sesimbra","L23-07643NB "
"IAPMEI","A.J.J. Soldado - Sociedade de Construções, Lda.",,"Preparação dos locais de construção","Construção e Imobiliário","Setúbal                                                     ","Seixal","L23-08202BCP"
"IAPMEI","A.M.L. - Complementos Sanitários, S.A.",,"Comércio por grosso de materiais de construção (excepto madeira) e equipamento sanitário","Comércio","Braga                                                       ","Braga","L23-05068NB "
"IAPMEI","A.N.O. - Sistemas de Informática e Serviços, Lda.",,"Comércio por grosso não especializado","Comércio","Porto                                                       ","Porto","L23-03299BCP"
"IAPMEI","A.R.G.S. - Construções, Unip., Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Braga                                                       ","Fafe","L23-05433MG "
"IAPMEI","A.S. Perdigão - Sociedade de Exploração Agrícola, Lda.",,"Outras culturas temporárias, n.e.","Agricultura e pescas","Santarém                                                    ","Salvaterra de Magos","L23-03455CGD"
"IAPMEI","A.S. Simões - Sociedade de Recuperação de Resíduos, Lda.",,"Comércio por grosso de desperdícios têxteis, de cartão e papéis velhos","Comércio","Setúbal                                                     ","Seixal","L23-02910BCP"
"IAPMEI","A.S.A. - Pedreiras, Lda.",,"Extracção de granito ornamental e rochas similares","Indústria","Braga                                                       ","Vila Verde","L23-03804CAM"
"TP","A.S.A. - Sociedade Hoteleira, Lda.",,"Restaurantes tipo tradicional","Turismo","Castelo Branco                                              ","Fundão","L23-05937CAM"
"IAPMEI","A.S.D. - Indústria de Banheiras Acrílicas e Cabines de Hidromassagem, S.A.",,"Fabricação de artigos de plástico para a construção","Indústria","Aveiro                                                      ","Águeda","L23-03161BPI"
"IAPMEI","A.T.F. - Auto Transportes do Fundão, S.A.",,"Transporte interurbano em autocarros","Transportes","Castelo Branco                                              ","Fundão","L23-05077NB "
"IAPMEI","A2Brios - Produção e Comércio de Soluções Químicas, Unip., Lda.",,"Fabricação de sabões, detergentes e glicerina","Indústria","Porto                                                       ","Trofa","L23-05859CGD"
"IAPMEI","ABBC - Azevedo Neves, Benjamim Mendes, Carvalho e Associados, Advogados, SP RL",,"Actividades jurídicas","Serviços","Lisboa                                                      ","Lisboa","L23-10217NB "
"IAPMEI","Abel Gomes de Carvalho, Lda.",,"Comércio por grosso de fruta e de produtos hortícolas, excepto batata","Comércio","Porto                                                       ","Póvoa de Varzim","L23-03149CGD"
"IAPMEI","Abel Luís Moreira de Sousa, Lda.",,"Fabricação de produtos de betão para a construção","Indústria","Porto                                                       ","Paredes","L23-00621BCP"
"IAPMEI","Abel Pereira Gonçalves, Lda.",,"Fabricação de artigos têxteis confeccionados, excepto vestuário","Indústria","Lisboa                                                      ","Vila Franca de Xira","L23-02622CGD"
"IAPMEI","Abilhetex - Indústria Têxtil, Lda.",,"Fabricação de tecidos de malha","Indústria","Braga                                                       ","Barcelos","L23-00432BCP"
"IAPMEI","Abílio da Costa Araujo & Filhos, Lda.",,"Comércio a retalho de tintas, vernizes e produtos similares, em estabelecimentos especializados","Comércio","Braga                                                       ","Vila Nova de Famalicão","L23-09355BCP"
"IAPMEI","Abílio das Neves Rodrigues & Filhos, Lda.",,"Transportes rodoviários de mercadorias","Transportes","Leiria                                                      ","Ansião","L23-04357BCP"
"IAPMEI","Abílio Rodrigues Peixoto & Filhos, S.A.",,"Comércio por grosso de materiais de construção (excepto madeira) e equipamento sanitário","Comércio","Viana do Castelo                                            ","Viana do Castelo","L23-02242CGD"
"IAPMEI","Ablewise Consulting, S.A.",,"Actividades de consultoria em informática","Serviços","Lisboa                                                      ","Oeiras","L23-06865CGD"
"IAPMEI","Aborridas - Terraplanagens, Lda.",,"Preparação dos locais de construção","Construção e Imobiliário","Aveiro                                                      ","Arouca","L23-04416CGD"
