"Organismo","Nome","CAE","Descrição","Setor","Distrito","Concelho","Código
 PME Líder"
"IAPMEI","Bramial - Caixilharia em Alumínio e P.V.C., Lda.",,"Fabricação de portas, janelas e elementos similares em metal","Indústria","Braga                                                       ","Braga","L23-03408NB "
"IAPMEI","Bramolde, Lda.",,"Fabricação de portas, janelas e elementos similares em metal","Indústria","Braga                                                       ","Braga","L23-01002MG "
"IAPMEI","Branco Batista - Construções, Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Viana do Castelo                                            ","Ponte de Lima","L23-09651BPI"
"IAPMEI","Branco e Negro - Gifts e Decoração, Lda.",,"Comércio a retalho de outros artigos para o lar, n.e., em estabelecimentos especializados","Comércio","Lisboa                                                      ","Vila Franca de Xira","L23-08690CGD"
"IAPMEI","Branco Forte - Construção e Pintura, Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Santarém                                                    ","Tomar","L23-09585BST"
"TP","Brandão & Martins - Empreendimentos Turísticos, Lda.",,"Hotéis sem restaurante","Turismo","Porto                                                       ","Maia","L23-09507CAM"
"TP","Brandão & Martins, Lda.",,"Restaurantes tipo tradicional","Turismo","Viana do Castelo                                            ","Ponte de Lima","L23-03141CGD"
"IAPMEI","Brandão & Soares, Lda.",,"Fabricação de calçado","Indústria","Aveiro                                                      ","Oliveira de Azeméis","L23-01272BCP"
"IAPMEI","Brankinox, Unip., Lda.",,"Fabricação de tubos, condutas, perfis ocos e respectivos acessórios,  de aço","Indústria","Aveiro                                                      ","Albergaria-a-Velha","L23-08075CGD"
"IAPMEI","Brás, Carmona e Santos, Lda.",,"Comércio a retalho de produtos farmacêuticos, em estabelecimentos especializados","Comércio","Faro                                                        ","Lagos","L23-07346CGD"
"IAPMEI","Bratislena - Clínicas, Lda.",,"Institutos de beleza","Serviços","Lisboa                                                      ","Lisboa","L23-11460BCP"
"IAPMEI","Bravaplan - Planeamento e Engenharia Civil, Lda.",,"Actividades de engenharia e técnicas afins","Serviços","Ilha da Madeira                                             ","Ribeira Brava","L23-08101BST"
"IAPMEI","Bretos Têxtil - Indústria Têxtil, Lda.",,"Actividades de acabamento de artigos de vestuário","Indústria","Braga                                                       ","Braga","L23-05675BCP"
"IAPMEI","Bribeja - Sociedade de Distribuição de Bricolage, Lda.",,"Comércio a retalho de material de bricolage, equipamento sanitário, ladrilhos e materiais similares, em estabelecimentos especializados","Comércio","Beja                                                        ","Beja","L23-04210BST"
"IAPMEI","Brico Alcobaça - Sociedade de Distribuição de Bricolage, Lda.",,"Comércio a retalho de material de bricolage, equipamento sanitário, ladrilhos e materiais similares, em estabelecimentos especializados","Comércio","Leiria                                                      ","Alcobaça","L23-09850BST"
"IAPMEI","Bricodutra, Unip., Lda.",,"Comércio a retalho de outros produtos novos, em estabelecimentos especializados, n.e.","Comércio","Ilha do Pico                                                ","Madalena","L23-06392BCP"
"IAPMEI","Bricolagos - Sociedade de Distribuição de Bricolage, Lda.",,"Comércio a retalho de material de bricolage, equipamento sanitário, ladrilhos e materiais similares, em estabelecimentos especializados","Comércio","Faro                                                        ","Lagos","L23-00794NB "
"IAPMEI","Bricotir - Transportes, S.A.",,"Transportes rodoviários de mercadorias","Transportes","Viseu                                                       ","Castro Daire","L23-11131BCP"
"IAPMEI","Bricovilareal - Sociedade de Distribuição de Bricolage, Lda.",,"Comércio a retalho de material de bricolage, equipamento sanitário, ladrilhos e materiais similares, em estabelecimentos especializados","Comércio","Vila Real                                                   ","Vila Real","L23-00567BCP"
"TP","Brijofi - Empreendimentos Turísticos, Lda.",,"Hotéis com restaurante","Turismo","Faro                                                        ","Loulé","L23-05665BST"
"IAPMEI","Brilhantes e Traquinas, Unip., Lda.",,"Comércio a retalho em outros estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Comércio","Lisboa                                                      ","Lisboa","L23-08843CGD"
"IAPMEI","Brincar - Comércio Automóveis, Lda.",,"Comércio de veículos automóveis ligeiros","Comércio","Vila Real                                                   ","Vila Real","L23-03359BPI"
"IAPMEI","Briquetes Raro - Sociedade de Aproveitamento de Resíduos, Lda.",,"Fabricação de outras obras de madeira","Indústria","Porto                                                       ","Vila Nova de Gaia","L23-10080BCP"
"TP","Brito e Cruz, Lda.",,"Pastelarias e casas de chá","Turismo","Faro                                                        ","Portimão","L23-01728CGD"
"IAPMEI","Brucimac - Materiais de Construção, Lda.",,"Comércio por grosso de materiais de construção (excepto madeira) e equipamento sanitário","Comércio","Lisboa                                                      ","Mafra","L23-09611BPI"
"IAPMEI","Bruma Europa, Lda.",,"Fabricação de  outras torneiras e válvulas","Indústria","Braga                                                       ","Vila Nova de Famalicão","L23-06281NB "
"IAPMEI","Bruno - Tir Transportes, Lda.",,"Transportes rodoviários de mercadorias","Transportes","Braga                                                       ","Amares","L23-11372BCP"
"IAPMEI","Bruno Calado - Nutrição Biomolecular, Lda.",,"Comércio a retalho de produtos alimentares, naturais e dietéticos, em estabelecimentos especializados","Comércio","Braga                                                       ","Braga","L23-06806BCP"
"IAPMEI","BSSE, Lda.",,"Actividades de engenharia e técnicas afins","Serviços","Porto                                                       ","Porto","L23-06894CGD"
"IAPMEI","Btermec, Lda.",,"Reparação e  manutenção de máquinas e equipamentos","Indústria","Leiria                                                      ","Pombal","L23-07106CAM"
"TP","Buganvilias Luminosas, Lda.",,"Restaurantes tipo tradicional","Turismo","Faro                                                        ","Portimão","L23-05587CGD"
"IAPMEI","Buildgest - Fiscalização e Gestão de Obras, Lda.",,"Actividades de engenharia e técnicas afins","Serviços","Porto                                                       ","Porto","L23-09562BCP"
"IAPMEI","Building Your Dreams, Unip., Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Lisboa                                                      ","Lisboa","L23-08188BST"
"IAPMEI","Buildingclass - Especialistas em Edifícios no Algarve, Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Faro                                                        ","Portimão","L23-06060BCP"
"IAPMEI","Bulício Urbano, Lda.",,"Construção de estradas e pistas de aeroportos","Construção e Imobiliário","Aveiro                                                      ","Aveiro","L23-11339BST"
"IAPMEI","Bússolalider, Lda.",,"Comércio por grosso de peixe, crustáceos e moluscos","Comércio","Leiria                                                      ","Peniche","L23-06003BCP"
"IAPMEI","Busvouga, Lda.",,"Outros transportes terrestres de passageiros diversos, n.e","Transportes","Aveiro                                                      ","Águeda","L23-08521NB "
"IAPMEI","By Bact3ria - Produção de Publicidade, Unip., Lda.",,"Agências de publicidade","Serviços","Lisboa                                                      ","Cascais","L23-00657BCP"
"IAPMEI","ByMe - Information Technology, Lda.",,"Actividades de programação informática","Serviços","Porto                                                       ","Porto","L23-09182BST"
"IAPMEI","Bytepitch - Software Engineering, S.A.",,"Actividades de programação informática","Serviços","Porto                                                       ","Porto","L23-11429BST"
"IAPMEI","C.A.A. - Casa Agrícola de Alpendorada, Unip., Lda.",,"Comércio por grosso de produtos químicos","Comércio","Porto                                                       ","Marco de Canaveses","L23-09554CAM"
"IAPMEI","C.C.A. - Cerâmica Culinária e Alimentar, S.A.",,"Fabricação de artigos de uso doméstico de faiança, porcelana e grés fino","Indústria","Aveiro                                                      ","Oliveira do Bairro","L23-03662BCP"
"IAPMEI","C.F.F. - Clínica Fisiátrica de Fafe, Lda.",,"Outras actividades de saúde humana, n.e.","Serviços","Braga                                                       ","Fafe","L23-07612CGD"
"IAPMEI","C.H. - Business Consulting, S.A.",,"Outras actividades de consultoria para os negócios e a gestão","Serviços","Coimbra                                                     ","Coimbra","L23-03835BCP"
"IAPMEI","C.I.A. - Comércio de Inox e Acessórios, Lda.",,"Comércio por grosso de ferragens, ferramentas manuais e artigos para canalizações e aquecimento","Comércio","Braga                                                       ","Vila Nova de Famalicão","L23-05151CGD"
"IAPMEI","C.M.P. - Centro Médico de Pataias, Lda. ",,"Actividades de prática médica de clínica geral, em ambulatório","Serviços","Lisboa                                                      ","Lisboa","L23-02248CAM"
"IAPMEI","C.N.S. Saúde, Lda.",,"Actividades dos estabelecimentos de saúde com internamento","Serviços","Lisboa                                                      ","Torres Vedras","L23-09996CGD"
"IAPMEI","C.P.S. - Centro Português de Serigrafia, S.A.",,"Outras actividades de edição","Serviços","Lisboa                                                      ","Lisboa","L23-01751CGD"
"IAPMEI","C.S. - Coelho da Silva, S.A.",,"Fabricação de telhas","Indústria","Leiria                                                      ","Porto de Mós","L23-01114NB "
"IAPMEI","C.T.G.A. - Centro Tecnológico de Gestão Ambiental, Lda.",,"Actividades de engenharia e técnicas afins","Serviços","Coimbra                                                     ","Coimbra","L23-03296CGD"
"IAPMEI","Cablotec - Cablagens e Sistemas, Lda.",,"Fabricação de outro equipamento eléctrico","Indústria","Lisboa                                                      ","Sintra","L23-03097BST"
"IAPMEI","Cabotrox - Comércio de Material Eléctrico, Lda.",,"Comércio por grosso de  equipamentos  electrónicos,  de telecomunicações e suas partes","Comércio","Castelo Branco                                              ","Castelo Branco","L23-08502CGD"
"IAPMEI","Cacelcer - Distribuição de Produtos Alimentares, Lda.",,"Comércio a retalho em outros estabelecimentos não especializados, com predominância de produtos alimentares, bebidas ou tabaco","Comércio","Faro                                                        ","Vila Real de Santo António","L23-04053BCP"
"IAPMEI","CACIAL - Cooperativa Agrícola de Citricultores do Algarve, CRL",,"Comércio por grosso de fruta e de produtos hortícolas, excepto batata","Comércio","Faro                                                        ","Faro","L23-10219NB "
"TP","Caddyrooms, Lda.",,"Hotéis com restaurante","Turismo","Faro                                                        ","Loulé","L23-10387BCP"
"IAPMEI","Cadmold - Gabinete Técnico e Projecto de Moldes Assistido Por Computador, S.A.",,"Actividades de engenharia e técnicas afins","Serviços","Leiria                                                      ","Leiria","L23-08058CGD"
"IAPMEI","Cadsolid - Cad/Cam Integrado, Lda.",,"Comércio por grosso de computadores, equipamentos periféricos e programas informáticos","Comércio","Leiria                                                      ","Leiria","L23-05010NB "
"TP","CAEL - Consórcio de Automóveis Excelsior, Lda.",,"Aluguer de veículos automóveis ligeiros","Turismo","Lisboa                                                      ","Lisboa","L23-11540BST"
"IAPMEI","Caetano, Alves & Filhos, Lda.",,"Serração de madeira","Indústria","Leiria                                                      ","Pedrógão Grande","L23-09698BPI"
"TP","Café Martinho da Arcada, Lda.",,"Restaurantes tipo tradicional","Turismo","Lisboa                                                      ","Lisboa","L23-01646BCP"
"TP","Café Restaurante Amigos do Baleal, Lda.",,"Cafés","Turismo","Leiria                                                      ","Peniche","L23-09884CAM"
"IAPMEI","Cafir - Fábrica de Peúgas, Lda.",,"Fabricação de meias e similares de malha","Indústria","Braga                                                       ","Barcelos","L23-02196BST"
"IAPMEI","Cafy Baby - Comércio de Vestuário, Lda.",,"Comércio a retalho de vestuário para bebés e crianças, em estabelecimentos especializados","Comércio","Porto                                                       ","Paredes","L23-06268CAM"
"IAPMEI","Caiado & Filhos II, Lda.",,"Fabricação de portas, janelas e elementos similares em metal","Indústria","Faro                                                        ","Olhão","L23-10289BCP"
"IAPMEI","Caiado, S.A.",,"Comércio por grosso de electrodomésticos, aparelhos de rádio e de televisão","Comércio","Leiria                                                      ","Leiria","L23-01275CGD"
"IAPMEI","Caifai - Malhas e Confecções, Lda.",,"Confecção de outro vestuário exterior em série","Indústria","Braga                                                       ","Barcelos","L23-02399CGD"
"IAPMEI","Caigaia - Caixotaria, Lda.",,"Fabricação de outras obras de madeira","Indústria","Porto                                                       ","Vila Nova de Gaia","L23-07712BCP"
"TP","Cais de Gaia - Hotelaria, Lda.",,"Restaurantes, n.e. (inclui actividades de restauração em meios móveis)","Turismo","Porto                                                       ","Vila Nova de Gaia","L23-03532BST"
"TP","Cais do Ginjal - Restauração e Animação Cultural, Lda.",,"Restaurantes tipo tradicional","Turismo","Setúbal                                                     ","Almada","L23-04153CGD"
"TP","Cais do Trigo - Animação Cultural e Actividades Turísticas, Lda.",,"Estabelecimentos de bebidas com espaço de dança ","Turismo","Lisboa                                                      ","Lisboa","L23-03752CGD"
"IAPMEI","Caismotor, Lda.",,"Comércio por grosso e a retalho de motociclos, de suas peças e acessórios","Comércio","Lisboa                                                      ","Cascais","L23-04757BCP"
"IAPMEI","Caius, Dias & Irmão, Lda.",,"Comércio por grosso de minérios e de metais","Comércio","Porto                                                       ","Vila Nova de Gaia","L23-01288BPI"
"IAPMEI","Caixiguias - Caixilharia de Alumínio e Serralharia Civil, Lda.",,"Fabricação de portas, janelas e elementos similares em metal","Indústria","Lisboa                                                      ","Mafra","L23-03251BCP"
"IAPMEI","Caixilour - Caixilharia, Lda.",,"Fabricação de artigos de plástico para a construção","Indústria","Lisboa                                                      ","Lourinhã","L23-03443NB "
"IAPMEI","Caiximatos, Lda.",,"Fabricação de portas, janelas e elementos similares em metal","Indústria","Braga                                                       ","Vila Verde","L23-09544BPI"
"IAPMEI","Caixinorte - Caixilharia de Alumínio, Lda.",,"Fabricação de portas, janelas e elementos similares em metal","Indústria","Porto                                                       ","Paredes","L23-09836BCP"
"IAPMEI","Calbrita - Sociedade de Britas, S.A.",,"Extracção de calcário e cré","Indústria","Lisboa                                                      ","Alenquer","L23-01291CAM"
"IAPMEI","Calçado Fego - Flá de  António Fernando Magalhães Soares, Lda.",,"Fabricação de calçado","Indústria","Porto                                                       ","Lousada","L23-04021BCP"
"IAPMEI","Calçados Tulipa Negra, S.A.",,"Fabricação de calçado","Indústria","Braga                                                       ","Guimarães","L23-01450CGD"
"IAPMEI","Caldeira Costa & Cª, Unip., Lda.",,"Comércio por grosso de outras máquinas e material de escritório","Comércio","Ilha da Madeira                                             ","Funchal","L23-01159NB "
"IAPMEI","Caldeira, Clemente & Cª, Lda.",,"Comércio a retalho de ferragens e de vidro plano, em estabelecimentos especializados","Comércio","Porto                                                       ","Porto","L23-09636NB "
"IAPMEI","Caleiestor - Caleiras e Estores, Lda.",,"Actividades de colocação de coberturas","Construção e imobiliário","Braga                                                       ","Guimarães","L23-04885CGD"
"IAPMEI","Calheiros Embalagens, S.A.",,"Fabricação de outras embalagens de papel e de cartão","Indústria","Porto                                                       ","Valongo","L23-01387BPI"
"TP","Camacho & Almeida, Lda.",,"Restaurantes, n.e. (inclui actividades de restauração em meios móveis)","Turismo","Ilha da Madeira                                             ","Funchal","L23-10891BST"
"IAPMEI","Camarc, S.A.",,"Fabricação de embalagens de madeira","Indústria","Aveiro                                                      ","Arouca","L23-02881BST"
"IAPMEI","Camidis - Transportes de Mercadorias por Camionagem de Aluguer, Lda.",,"Transportes rodoviários de mercadorias","Transportes","Lisboa                                                      ","Mafra","L23-01612BST"
"IAPMEI","Campos & Filhos, S.A.",,"Fabricação de mobiliário de madeira para outros fins","Indústria","Porto                                                       ","Paredes","L23-01659CGD"
"TP","Campos Machado & Garcia, Lda.",,"Restaurantes tipo tradicional","Turismo","Porto                                                       ","Porto","L23-01622BST"
"IAPMEI","Campos Silva, S.A.",,"Extracção de granito ornamental e rochas similares","Indústria","Braga                                                       ","Braga","L23-00546BCP"
"IAPMEI","Campos, Carvalho & Fernandes, Lda.",,"Fabricação de portas, janelas e elementos similares em metal","Indústria","Braga                                                       ","Vila Nova de Famalicão","L23-08346BCP"
"IAPMEI","Campovo - Produção e Comercialização de Ovos, S.A.",,"Avicultura","Agricultura e Pescas","Leiria                                                      ","Pombal","L23-02842CAM"
"IAPMEI","Canalcentro - Materiais para Canalização e Climatização, S.A.",,"Comércio por grosso de materiais de construção (excepto madeira) e equipamento sanitário","Comércio","Leiria                                                      ","Leiria","L23-02516CGD"
"IAPMEI","Cândido Joaquim Silva - Construções, Unip., Lda.",,"Montagem de trabalhos de carpintaria e de caixilharia","Construção e Imobiliário","Porto                                                       ","Penafiel","L23-09718CGD"
"IAPMEI","Cando Jardins - Construção e Manutenção de Jardins, Unip., Lda.",,"Outras actividades  especializadas de construção diversas, n.e.","Construção e Imobiliário","Faro                                                        ","Lagos","L23-08230BKI"
"IAPMEI","Cão de Ló - Hospital Veterinário Central de Caldas da Rainha, Lda.",,"Actividades veterinárias","Serviços","Leiria                                                      ","CaLda.s da Rainha","L23-08321CGD"
"IAPMEI","Capítulo Positivo, Lda.",,"Outras actividades  especializadas de construção diversas, n.e.","Construção e Imobiliário","Leiria                                                      ","CaLda.s da Rainha","L23-11338BPI"
"IAPMEI","Capítulos e Discípulos, Lda.",,"Actividades de arquitectura","Serviços","Lisboa                                                      ","Lisboa","L23-06940CGD"
"IAPMEI","Cápsulas do Norte - Indústrias Metálicas, Lda.",,"Fabricação de outros artigos de plástico, n.e.","Indústria","Porto                                                       ","Vila Nova de Gaia","L23-02302BIC"
"IAPMEI","Caradonna, Lda.",,"Fabricação de outros produtos metálicos diversos,  n.e.","Indústria","Porto                                                       ","Marco de Canaveses","L23-05354BCP"
"TP","Carbono 21, Lda.",,"Turismo no espaço rural","Turismo","Leiria                                                      ","Óbidos","L23-09882CAM"
"IAPMEI","Cardeira & Costa - Sociedade de Mediação Imobiliária, Lda.",,"Actividades de mediação imobiliária","Serviços","Leiria                                                      ","Leiria","L23-00714BCP"
"TP","Cardoso & Sousa, Lda.",,"Aluguer de veículos automóveis ligeiros","Turismo","Aveiro                                                      ","Anadia","L23-07709BCP"
"IAPMEI","Care to Beauty, Lda.",,"Comércio a retalho por correspondência ou via Internet","Comércio","Porto                                                       ","Porto","L23-09653BPI"
"IAPMEI","Carfat - Instalações Eléctricas, Lda.",,"Instalação eléctrica","Construção e Imobiliário","Braga                                                       ","Guimarães","L23-03962NB "
"IAPMEI","Carfi - Fábrica de Plásticos e Moldes, S.A.",,"Fabricação de outros artigos de plástico, n.e.","Indústria","Leiria                                                      ","Marinha Grande","L23-01996BCP"
"IAPMEI","Carisma de Liberdade, S.A.",,"Fabricação de calçado","Indústria","Aveiro                                                      ","Santa Maria da Feira","L23-00796NB "
"IAPMEI","Carla Sofia Cardoso Rocha, Lda.",,"Comércio a retalho de produtos farmacêuticos, em estabelecimentos especializados","Comércio","Santarém                                                    ","Benavente","L23-06091BIC"
"IAPMEI","Carla Sofia Felisberto, Lda.",,"Comércio a retalho de mobiliário e artigos de iluminação, em estabelecimentos especializados","Comércio","Santarém                                                    ","Benavente","L23-09586BCP"
"IAPMEI","Carlos Alberto & Filhos, S.A.",,"Fabricação de fechaduras, dobradiças e de outras ferragens","Indústria","Porto                                                       ","Santo Tirso","L23-04808NB "
"IAPMEI","Carlos Alberto & Silva - Reparação de Pesados, Lda.",,"Manutenção e reparação de veículos automóveis","Comércio","Porto                                                       ","Vila do Conde","L23-08600CGD"
"IAPMEI","Carlos Alberto André Batalha, Lda.",,"Comércio a retalho de outros produtos novos, em estabelecimentos especializados, n.e.","Comércio","Lisboa                                                      ","Mafra","L23-08419BPI"
"IAPMEI","Carlos Ferreira da Silva & Filhos - Recolha e Reciclagem de Papéis e Plásticos, Lda.",,"Comércio por grosso de desperdícios têxteis, de cartão e papéis velhos","Comércio","Porto                                                       ","Vila Nova de Gaia","L23-02782BPI"
"IAPMEI","Carlos Gil - Obras Públicas, Construção Civil e Montagens Eléctricas, Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Coimbra                                                     ","Lousã","L23-03987CGD"
"IAPMEI","Carlos Manuel Machado Silva, Lda.",,"Comércio a retalho de peças e acessórios para veículos automóveis","Comércio","Leiria                                                      ","CaLda.s da Rainha","L23-05087BIC"
"IAPMEI","Carlos Manuel Martins dos Santos, Unip., Lda.",,"Comércio por grosso de outras máquinas e material de escritório","Comércio","Viana do Castelo                                            ","Ponte de Lima","L23-06031BST"
"IAPMEI","Carlos Monteiro & Filhos, Lda.",,"Comércio por grosso de ferragens, ferramentas manuais e artigos para canalizações e aquecimento","Comércio","Setúbal                                                     ","Palmela","L23-09679BCP"
"IAPMEI","Carlos Ribeiro - Atividade Farmacêutica, Soc. Unip., Lda.",,"Comércio a retalho de produtos farmacêuticos, em estabelecimentos especializados","Comércio","Porto                                                       ","Santo Tirso","L23-00816NB "
"IAPMEI","Carlos Silva & Dias - Componentes e Sistemas Eléctricos, Lda.",,"Comércio por grosso de electrodomésticos, aparelhos de rádio e de televisão","Comércio","Aveiro                                                      ","Santa Maria da Feira","L23-03918BCP"
"IAPMEI","Carlos V. Rebelo, Lda.",,"Fabricação de estruturas de construções metálicas","Indústria","Santarém                                                    ","Cartaxo","L23-05306BPI"
"IAPMEI","Carmonti - Indústria de Carnes do Montijo, S.A.",,"Abate de gado (produção de carne)","Indústria","Setúbal                                                     ","Montijo","L23-10797BKI"
"IAPMEI","Carnes S. Sousa, Unip., Lda.",,"Comércio a retalho de carne e produtos à base de carne, em estabelecimentos especializados","Comércio","Porto                                                       ","Paredes","L23-06441BCP"
"IAPMEI","Carnes Veiga, Lda.",,"Comércio por grosso de carne e produtos à base de carne","Comércio","Bragança                                                    ","Carrazeda de Ansiães","L23-05657CGD"
"TP","Carnihotelaria, Lda.",,"Restaurantes tipo tradicional","Turismo","Lisboa                                                      ","Lisboa","L23-02189CGD"
"IAPMEI","Carpigandra - Carpintaria, Lda.",,"Fabricação de outras obras de carpintaria para a construção","Indústria","Porto                                                       ","Paredes","L23-10570BCP"
"IAPMEI","Carpintaria Aires, Lda.",,"Fabricação de outras obras de carpintaria para a construção","Indústria","Braga                                                       ","Barcelos","L23-04521CGD"
"IAPMEI","Carpintaria Feitoria, Lda.",,"Montagem de trabalhos de carpintaria e de caixilharia","Construção e Imobiliário","Porto                                                       ","Amarante","L23-09513BPI"
"IAPMEI","Carpintaria João M. Lucas & Filhos, Lda.",,"Fabricação de outras obras de carpintaria para a construção","Indústria","Lisboa                                                      ","Torres Vedras","L23-09113MG "
"IAPMEI","Carpintaria Lamosa, Lda.",,"Fabricação de outras obras de carpintaria para a construção","Indústria","Braga                                                       ","Vila Verde","L23-09090BPI"
"IAPMEI","Carpintaria S. José de António Machado & Filhos, S.A.",,"Fabricação de mobiliário para escritório e comércio","Indústria","Braga                                                       ","Guimarães","L23-09143BCP"
"IAPMEI","Carpinwood - Indústria de Carpintaria e Mobiliário, Lda.",,"Fabricação de outras obras de carpintaria para a construção","Indústria","Porto                                                       ","Amarante","L23-08886CGD"
"IAPMEI","Carpirib - Carpintaria e Madeiras, Lda.",,"Montagem de trabalhos de carpintaria e de caixilharia","Construção e Imobiliário","Braga                                                       ","Vila Nova de Famalicão","L23-07332BCP"
"IAPMEI","Carpisoure - Carpintaria e Alumínios, Lda.",,"Fabricação de outras obras de carpintaria para a construção","Indústria","Coimbra                                                     ","Soure","L23-10141CAM"
"IAPMEI","Carreira & Lourenço, Lda.",,"Serração de madeira","Indústria","Coimbra                                                     ","Penela","L23-10135CAM"
"IAPMEI","Carreiras, Moscato & Carvalho, Lda.",,"Fabricação de estruturas de construções metálicas","Indústria","Porto                                                       ","Maia","L23-08606BCP"
"TP","Carrelo & Gonçalves, Lda.",,"Restaurantes tipo tradicional","Turismo","Porto                                                       ","Póvoa de Varzim","L23-08589CGD"
"IAPMEI","Carroçarias Irmãos Costas, Lda.",,"Fabricação de carroçarias, reboques e semi-reboques","Indústria","Porto                                                       ","Marco de Canaveses","L23-08461BCP"
"IAPMEI","Carsistema Portugal - Representações, S.A.",,"Comércio por grosso de produtos químicos","Comércio","Coimbra                                                     ","Coimbra","L23-03775NB "
"IAPMEI","Cartocer - Fábrica de Caixas de Cartão das Lezírias, Lda.",,"Fabricação de outras embalagens de papel e de cartão","Indústria","Aveiro                                                      ","Anadia","L23-11101CGD"
"IAPMEI","Cartonagem Alves, Lda.",,"Fabricação de outras embalagens de papel e de cartão","Indústria","Braga                                                       ","Fafe","L23-02962BCP"
"IAPMEI","Cartonagem Cardoso, S.A.",,"Fabricação de outras embalagens de papel e de cartão","Indústria","Aveiro                                                      ","Santa Maria da Feira","L23-02149CGD"
"IAPMEI","Cartonagem S. Tiago, S.A.",,"Fabricação de papel e de cartão canelados (inclui embalagens)","Indústria","Braga                                                       ","Braga","L23-01634BPI"
"IAPMEI","Cartonagem Trindade - Indústria, S.A.",,"Fabricação de outras embalagens de papel e de cartão","Indústria","Aveiro                                                      ","São João da Madeira","L23-06116BPI"
"TP","Carva Network, Unip., Lda.",,"Alojamento mobilado para turistas","Turismo","Porto                                                       ","Porto","L23-05957CGD"
"IAPMEI","Carvalho Lucas, Farmácia de Oficina, Lda.",,"Comércio a retalho de produtos farmacêuticos, em estabelecimentos especializados","Comércio","Santarém                                                    ","Entroncamento","L23-05492BKI"
"IAPMEI","Carvalhos & M. Moura, Lda.",,"Comércio de veículos automóveis ligeiros","Comércio","Porto                                                       ","Maia","L23-01887BCP"
"IAPMEI","Carvidet - Higiene Industrial, Lda.",,"Fabricação de sabões, detergentes e glicerina","Indústria","Porto                                                       ","Santo Tirso","L23-04393BCP"
"TP","Carxop - Barcelos & Florença, Lda.",,"Aluguer de veículos automóveis ligeiros","Turismo","Ilha da Madeira                                             ","Funchal","L23-10153BPI"
"IAPMEI","Carysoles - Indústria de Solas, Unip., Lda.",,"Fabricação de componentes de borracha para calçado","Indústria","Porto                                                       ","Felgueiras","L23-05741NB "
"IAPMEI","Casa das Piscinas - Comércio de Piscinas e Equipamentos, Lda.",,"Comércio por grosso de outras máquinas e equipamentos","Comércio","Faro                                                        ","Loulé","L23-00995NB "
"TP","Casa de Pasto Moinho de Vento, Lda.",,"Restaurantes tipo tradicional","Turismo","Porto                                                       ","Porto","L23-02304CGD"
"IAPMEI","Casa de Repouso Vale de Lobos, Soc. Lda.",,"Actividades de apoio social para pessoas idosas, com alojamento","Serviços","Lisboa                                                      ","Sintra","L23-07577NB "
"IAPMEI","Casa de Saúde e Repouso da Amoreira, S.A.",,"Actividades de apoio social para pessoas idosas, com alojamento","Serviços","Lisboa                                                      ","Odivelas","L23-03476CGD"
"IAPMEI","Casa de Saúde e Repouso Solar de Caneças, S.A.",,"Actividades de apoio social para pessoas idosas, com alojamento","Serviços","Lisboa                                                      ","Odivelas","L23-04311CGD"
"TP","Casa Deitada - Turismo Açores, Lda.",,"Turismo no espaço rural","Turismo","Ilha de São Miguel","Ponta Delgada","L23-10208CAM"
"IAPMEI","Casa do Marquês, Hotelaria, S.A.",,"Fornecimento de refeições para eventos","Serviços","Lisboa                                                      ","Lisboa","L23-09667BCP"
"IAPMEI","Casa do Ribeiro - Transportes, Lda.",,"Transportes rodoviários de mercadorias","Transportes","Braga                                                       ","Vila Verde","L23-05432CGD"
"IAPMEI","Casa dos Acessórios Pinto & Guedes, Lda.",,"Comércio a retalho de electrodomésticos, em estabelecimentos especializados","Comércio","Porto                                                       ","Porto","L23-02161CGD"
"IAPMEI","Casa dos Profiteroles - Comércio e Indústria de Pastelaria e Gelados, S.A.",,"Pastelaria","Indústria","Porto                                                       ","Maia","L23-08812BST"
"IAPMEI","Casa Lemos - Doces Regionais, Lda.",,"Pastelaria","Indústria","Porto                                                       ","Amarante","L23-05421CAM"
"TP","Casa Nepalesa (Nepali Bhanchha Ghar), Lda.",,"Restaurantes tipo tradicional","Turismo","Lisboa                                                      ","Lisboa","L23-11104BCP"
"IAPMEI","Casa Quintanilha - Pronto a Vestir, Lda.",,"Comércio a retalho de vestuário para adultos, em estabelecimentos especializados","Comércio","Porto                                                       ","Felgueiras","L23-10276NB "
"IAPMEI","Casa Rola, Lda.",,"Comércio por grosso de máquinas e equipamentos, agrícolas","Comércio","Aveiro                                                      ","Albergaria-a-Velha","L23-06020BCP"
"TP","Casa Sarmento, S.A.",,"Restaurantes tipo tradicional","Turismo","Aveiro                                                      ","Mealhada","L23-11134CAM"
"IAPMEI","Casema - Casas Especiais de Madeira, Importação e Exportação, Lda.",,"Construção de edifícios (residenciais e não residenciais)","Construção e Imobiliário","Leiria                                                      ","Porto de Mós","L23-00465CAM"
